P1	180.2018	202.2322	170.1391	187.2208	140.2059	253.2509
P2	166.1603	126.1793	170.1391	177.183	217.2468	307.391
P3	194.2963	202.1924	180.2697	219.2858	256.3458	212.2519
P4	218.2746	176.238	225.2291	176.2165	231.2472	190.2431
P5	165.1954	172.2062	177.1998	156.1886	180.2018	232.2582
P6	235.2804	115.1136	207.1659	183.2107	196.6564	183.2306
P7	243.2841	295.3803	235.219	285.3176	169.204	289.3095
P8	158.1796	222.2385	213.2581	249.0352	217.2899	251.3277
P9	195.1734	138.1469	271.2182	169.2272	221.2538	181.2147
P10	192.1943	253.7078	246.245	225.2688	219.2858	192.2804
P11	222.2649	148.1848	265.7416	128.1521	212.6128	176.238
P12	162.2114	125.1084	220.0701	223.2945	270.1287	130.168
P13	162.2114	184.2154	205.2593	176.238	166.1753	190.2431
P14	196.6564	192.2125	154.2324	190.2215	301.7722	257.3338
P15	197.2373	195.1903	212.6128	216.2804	208.121	198.6293
P16	191.2095	115.1136	250.2966	176.1949	171.1784	129.1402
P17	169.204	292.3366	207.2089	205.2593	186.5937	176.238
P18	190.1817	267.3271	193.6127	266.339	190.2417	179.1909
P19	159.1677	317.3858	193.1824	252.2909	241.1074	237.3011
P20	205.2361	213.2566	214.1486	199.23	165.1643	241.1074
P21	168.259	235.2604	220.2077	168.2391	152.1768	238.266
P22	152.1487	226.0699	180.2498	157.1933	182.6299	260.3113
P23	141.174	170.1391	190.2215	223.2514	257.2676	128.109
P24	182.6299	154.2324	203.0483	226.2752	126.1793	152.1735
P25	179.1558	178.1677	126.1793	126.1362	269.2056	238.2859
P26	224.2395	198.2684	260.0548	157.1933	184.2169	231.2965
P27	307.7999	247.0578	156.2053	233.2678	202.1562	168.259
P28	233.2893	196.6564	228.2264	184.2154	151.1887	246.2847
P29	195.2413	139.135	213.2367	198.2419	213.2367	246.3278
P30	196.6134	152.1487	218.1556	191.2095	214.6469	212.6558
P31	183.2306	168.259	210.6616	142.1787	203.0483	207.2951
P32	162.2114	166.1753	245.3	222.1805	192.1943	233.2893
P33	183.2044	207.2089	205.2593	192.1943	139.135	195.1982
P34	259.3004	259.3066	217.2899	168.2391	166.2034	223.2945
P35	180.2018	239.2954	154.1665	194.2764	188.2487	169.5913
P36	211.628	217.2038	228.2728	150.1576	148.1848	178.1677
P37	248.3208	191.2095	152.1735	176.1949	212.2486	146.1689
P38	148.1848	237.3011	141.194	165.2154	166.2034	192.2605
P39	241.654	233.3124	260.3113	230.2625	243.2841	168.2391
P40	148.1848	219.2858	220.2044	180.2697	211.628	229.2608
P41	179.2419	166.2001	164.1842	222.2816	212.2701	182.2428
P42	213.6008	230.2853	287.2607	211.628	169.204	207.252
P43	169.204	140.2059	166.2034	190.2431	205.1931	188.2487
P44	172.1833	162.2114	197.2572	245.3431	196.1582	222.2666
P45	180.2018	242.2993	192.1943	251.3476	244.3152	166.2431
P46	231.0447	251.3476	219.2196	210.683	167.1881	167.2481
P47	205.2361	154.2324	260.0548	208.2038	270.2846	146.1689
P48	164.1842	177.183	192.2207	158.2012	203.0483	234.1732
P49	208.1937	231.2965	201.2044	193.1824	176.238	248.2609
P50	176.238	169.204	192.1943	186.5937	198.2022	182.6299
P51	192.1943	182.6299	231.1015	204.2911	285.3176	241.1074
P52	281.3537	180.2498	194.2963	148.1848	212.2486	212.2701
P53	255.3363	220.3336	127.1243	232.2366	182.1665	204.2314
P54	198.2419	259.2075	206.2209	198.222	202.1562	221.2587
P55	162.2114	142.1621	182.6299	264.2585	176.238	260.0548
P56	165.2153	186.5937	217.2468	278.757	237.321	180.2018
P57	212.2486	173.1943	155.1774	219.2196	205.1931	233.2847
P58	194.2284	217.2468	236.2932	295.3803	233.1086	212.2456
P59	193.1824	245.3	220.3336	183.1115	223.2977	263.2891
P60	223.3176	225.3103	166.1753	145.1396	216.2588	220.2676
P61	180.2018	142.1787	212.2189	196.6564	213.2367	237.7084
P62	190.2645	141.1509	183.2737	154.2324	218.2779	205.2593
P63	141.1509	142.2217	190.1986	194.2764	135.1463	246.3082
P64	239.2739	151.1887	157.1933	226.2752	210.3188	269.7254
P65	225.2904	248.3271	227.2632	142.1787	243.241	218.063
P66	197.1462	245.3216	237.3011	202.6842	126.1793	157.1933
P67	177.183	232.2582	168.6033	162.2114	202.1924	116.0983
P68	254.3254	259.3066	169.5913	184.2418	191.1834	187.2377
P69	174.2221	192.2374	202.1562	168.196	193.1824	155.2006
P70	205.2593	231.3165	182.2425	261.3458	176.1949	178.2538
P71	247.6817	165.1723	245.2041	230.2093	149.1729	223.3176
P72	226.6394	205.2099	198.2419	231.2965	244.3335	135.1463
P73	179.1909	194.2963	212.2486	258.0518	165.1643	206.2209
P74	234.3204	183.1548	307.391	256.3259	225.2904	226.6394
P75	177.1998	295.3803	177.1998	241.2898	161.2004	216.2157
P76	205.1931	205.2395	183.1548	240.6659	229.2608	196.6564
P77	302.2137	299.2915	179.1909	281.3537	162.2114	231.1015
P78	194.2565	233.1904	202.2752	282.7059	213.0543	220.2475
P79	168.2391	143.1667	226.0699	233.3124	173.1943	225.2688
P80	245.3	203.0483	240.2042	128.1952	202.1924	246.2847
P81	142.2217	189.2105	240.2988	150.1609	205.177	132.7862
P82	130.1249	192.1714	125.1515	177.2031	239.3107	134.1798
P83	169.204	176.238	142.1787	257.7627	264.2523	151.1457
P84	247.3159	268.287	218.2316	162.1885	208.2569	246.6937
P85	228.2728	197.2572	221.2587	389.1905	219.2858	154.2096
P86	191.2095	201.2044	257.3276	192.1943	259.3467	173.2111
P87	168.259	173.1943	196.6134	137.1622	293.3614	212.6128
P88	208.2038	229.1984	254.3085	200.2594	220.2044	181.2379
P89	150.1576	225.6777	213.0543	223.2745	221.2538	193.2685
P90	193.2486	211.2838	168.6033	252.3125	217.2468	206.2209
P91	263.3384	215.2309	252.2942	221.2355	247.4993	258.2908
P92	139.178	228.2728	188.6576	219.2858	259.3266	204.2481
P93	303.308	165.1723	181.1717	218.063	182.2856	152.1304
P94	258.3601	217.2637	191.2095	162.2114	190.2645	192.2407
P95	278.3314	235.6527	247.1537	291.3269	205.2361	219.2627
P96	154.2125	275.326	217.2468	198.6293	208.2831	185.2465
P97	171.1937	204.2514	205.2361	149.1729	140.2059	244.3122
